,region_1_stat,region_2_stat,region_3_stat,overall_stat
1,1309.45,328.68,477.63,19123.28
2,1276.0,328.18,477.15,19046.41
3,,,,
4,1241.56,327.94,476.72,19007.64
5,1231.79,328.15,476.52,19004.19
6,,,,
7,,,,
8,1216.68,327.79,476.51,18991.25
9,,,,
10,1177.33,328.03,476.24,18961.67
11,1198.78,332.04,475.94,18986.14
