,region_1_stat,region_2_stat,region_3_stat,overall_stat
1,1060.23,355.48,474.88,18950.51
2,1060.45,367.77,474.9,18962.99
3,1060.46,376.8,474.77,18968.6
4,,,,
5,1059.56,355.14,474.72,18950.91
6,1059.46,350.6,474.6,18947.63
7,1059.56,366.28,474.64,18960.02
8,1059.29,363.15,474.59,18957.2
9,1058.94,347.59,474.55,18939.55
10,1059.36,351.95,474.55,18948.87
11,1059.28,362.16,474.62,18956.56
