,region_1_stat,region_2_stat,region_3_stat,overall_stat
1,1061.14,409.61,475.15,19003.5
2,1060.57,367.57,475.08,18968.26
3,,,,
4,1060.97,411.56,475.07,18999.49
5,1059.9,330.2,474.82,18921.95
6,1059.82,319.79,474.72,18911.52
7,1060.47,376.14,474.9,18967.71
8,1060.08,373.48,474.86,18965.01
9,1059.52,338.32,474.64,18932.31
10,,,,
11,1060.19,312.28,474.8,18913.03
