,region_1_stat,region_2_stat,region_3_stat,overall_stat
1,1218.08,328.48,477.37,19004.58
2,1168.8,328.44,476.82,18962.27
3,1137.54,329.77,476.28,18932.85
4,1139.02,328.36,476.37,18930.32
5,1119.11,328.45,475.95,18925.55
6,,,,
7,1113.61,328.49,475.75,18924.61
8,1094.16,329.87,475.66,18917.42
9,,,,
10,1074.27,328.65,475.37,18906.48
11,1084.25,328.63,475.58,18908.31
