,region_1_stat,region_2_stat,region_3_stat,overall_stat
1,1060.94,329.14,519.73,18945.39
2,,,,
3,1062.47,328.84,494.61,18923.55
4,1059.37,329.22,490.3,18920.82
5,1060.9,328.7,486.85,18920.44
6,1059.3,328.51,479.99,18914.43
7,,,,
8,1060.73,328.76,480.73,18917.44
9,1060.45,328.77,487.08,18928.09
10,1060.25,328.62,491.16,18931.99
11,1060.49,328.76,489.24,18929.75
