,region_1_stat,region_2_stat,region_3_stat,overall_stat
1,1060.33,361.11,474.91,18955.39
2,,,,
3,1060.45,380.68,474.84,18971.68
4,1060.33,392.04,474.87,18981.32
5,1059.52,346.98,474.67,18942.82
6,1059.52,342.07,474.64,18939.07
7,,,,
8,,,,
9,1059.31,342.46,474.55,18934.84
10,1059.61,343.92,474.62,18941.13
11,1059.48,347.78,474.65,18943.1
